DEPARTAMENTO;MUNICIPIO;GENERO;EDAD;PLATAFORMA_EDUCATIVA
VALLE DEL CAUCA;PALMIRA;MASCULINO;30;PLATZI
CALDAS;MANIZALES;MASCULINO;25;PLATZI
SANTANDER;BUCARAMANGA;MASCULINO;36;DATACAMP
BOLIVAR;EL CARMEN DE BOLIVAR;MASCULINO;54;PLATZI
TOLIMA;IBAGUE;MASCULINO;31;COURSERA
NORTE DE SANTANDER;PAMPLONA;MASCULINO;31;PLATZI
CESAR;VALLEDUPAR;FEMENINO;22;PLATZI
CAUCA;POPAYAN;MASCULINO;37;PLATZI
CESAR;VALLEDUPAR;MASCULINO;31;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;41;EDX
TOLIMA;IBAGUE;MASCULINO;31;DATACAMP
CESAR;VALLEDUPAR;MASCULINO;48;DATACAMP
NORTE DE SANTANDER;CUCUTA;MASCULINO;42;PLATZI
SUCRE;TOLU VIEJO;MASCULINO;27;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;26;DATACAMP
ANTIOQUIA;MEDELLIN;FEMENINO;26;DATACAMP
ANTIOQUIA;RIONEGRO;MASCULINO;25;PLATZI
ANTIOQUIA;RIONEGRO;MASCULINO;25;PLATZI
PUTUMAYO;MOCOA;MASCULINO;30;MICROSOFT AZURE
ANTIOQUIA;MEDELLIN;FEMENINO;39;DATACAMP
ANTIOQUIA;MEDELLIN;FEMENINO;39;DATACAMP
ANTIOQUIA;BELLO;MASCULINO;25;UDACITY
ANTIOQUIA;ITAGUI;FEMENINO;32;MICROSOFT AZURE
BOLIVAR;CARTAGENA;MASCULINO;33;PLATZI
NORTE DE SANTANDER;PAMPLONA;MASCULINO;20;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;24;PLATZI
VALLE DEL CAUCA;CALI;FEMENINO;39;MICROSOFT AZURE
META;VILLAVICENCIO;FEMENINO;23;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;30;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;30;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;30;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;30;EDX
ANTIOQUIA;ENVIGADO;MASCULINO;34;COURSERA
LA GUAJIRA;RIOHACHA;MASCULINO;23;EDX
ANTIOQUIA;BELLO;MASCULINO;22;DATACAMP
VALLE DEL CAUCA;TULUA;FEMENINO;24;DATACAMP
ANTIOQUIA;LA ESTRELLA;MASCULINO;21;PLATZI
CESAR;VALLEDUPAR;MASCULINO;33;MICROSOFT AZURE
ANTIOQUIA;MEDELLIN;MASCULINO;32;MICROSOFT AZURE
ANTIOQUIA;MEDELLIN;MASCULINO;32;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;FEMENINO;34;DATACAMP
BOGOTA;BOGOTA, D.C.;FEMENINO;34;DATACAMP
BOGOTA;BOGOTA, D.C.;FEMENINO;34;DATACAMP
VALLE DEL CAUCA;CALI;MASCULINO;35;DATACAMP
VALLE DEL CAUCA;CALI;MASCULINO;35;DATACAMP
VALLE DEL CAUCA;CALI;MASCULINO;35;DATACAMP
VALLE DEL CAUCA;CALI;MASCULINO;35;DATACAMP
VALLE DEL CAUCA;CALI;MASCULINO;35;DATACAMP
VALLE DEL CAUCA;CALI;MASCULINO;35;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;30;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;30;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;30;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;30;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;30;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;30;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;30;DATACAMP
SANTANDER;FLORIDABLANCA;FEMENINO;47;COURSERA
SANTANDER;VELEZ;FEMENINO;50;PLATZI
CUNDINAMARCA;CHIA;MASCULINO;26;EDX
CUNDINAMARCA;CHIA;MASCULINO;26;EDX
ANTIOQUIA;MEDELLIN;MASCULINO;36;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;36;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;36;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;36;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;36;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;36;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;36;PLATZI
TOLIMA;IBAGUE;FEMENINO;23;MICROSOFT AZURE
CUNDINAMARCA;CHIA;MASCULINO;26;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;25;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;25;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;25;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;25;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;25;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;21;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;21;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;21;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;21;COURSERA
ATLANTICO;CANDELARIA;FEMENINO;23;DATACAMP
CAUCA;POPAYAN;FEMENINO;29;PLATZI
ATLANTICO;BARRANQUILLA;MASCULINO;16;PLATZI
SANTANDER;BUCARAMANGA;FEMENINO;21;EDX
ATLANTICO;PUERTO COLOMBIA;MASCULINO;32;UDACITY
ANTIOQUIA;MEDELLIN;MASCULINO;42;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;42;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;42;COURSERA
ATLANTICO;BARRANQUILLA;FEMENINO;21;DATACAMP
CUNDINAMARCA;FUSAGASUGA;MASCULINO;21;PLATZI
VALLE DEL CAUCA;CALI;MASCULINO;18;PLATZI
