DEPARTAMENTO;MUNICIPIO;GENERO;EDAD;PLATAFORMA_EDUCATIVA
CUNDINAMARCA;ZIPAQUIRA;MASCULINO;31;COURSERA
NARIÑO;PASTO;MASCULINO;40;DATACAMP
VALLE DEL CAUCA;YUMBO;MASCULINO;28;PLATZI
ANTIOQUIA;SABANETA;FEMENINO;35;MICROSOFT AZURE
ANTIOQUIA;SABANETA;MASCULINO;35;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;30;MICROSOFT AZURE
ANTIOQUIA;MEDELLIN;MASCULINO;30;MICROSOFT AZURE
ANTIOQUIA;MEDELLIN;MASCULINO;30;MICROSOFT AZURE
ANTIOQUIA;SABANETA;MASCULINO;31;UDACITY
META;VILLAVICENCIO;MASCULINO;24;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;33;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;33;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;33;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;33;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;33;MICROSOFT AZURE
RISARALDA;PEREIRA;MASCULINO;41;COURSERA
ANTIOQUIA;SABANETA;MASCULINO;28;EDX
BOGOTA;BOGOTA, D.C.;FEMENINO;52;MICROSOFT AZURE
ANTIOQUIA;GIRARDOTA;MASCULINO;30;DATACAMP
ANTIOQUIA;ENVIGADO;MASCULINO;23;PLATZI
CALDAS;MANIZALES;MASCULINO;33;PLATZI
ATLANTICO;BARRANQUILLA;MASCULINO;21;EDX
MAGDALENA;CIENAGA;MASCULINO;25;DATACAMP
ANTIOQUIA;BELLO;MASCULINO;33;PLATZI
ANTIOQUIA;BELLO;MASCULINO;33;PLATZI
CALDAS;VILLAMARIA;MASCULINO;31;COURSERA
BOYACA;TUNJA;MASCULINO;52;DATACAMP
SANTANDER;BUCARAMANGA;FEMENINO;27;DATACAMP
VALLE DEL CAUCA;TULUA;MASCULINO;21;PLATZI
META;VILLAVICENCIO;MASCULINO;38;PLATZI
CALDAS;MANIZALES;MASCULINO;34;PLATZI
SANTANDER;FLORIDABLANCA;MASCULINO;26;PLATZI
ATLANTICO;BARRANQUILLA;MASCULINO;36;COURSERA
ATLANTICO;BARRANQUILLA;MASCULINO;36;COURSERA
ANTIOQUIA;MARINILLA;MASCULINO;38;DATACAMP
BOGOTA;BOGOTA, D.C.;FEMENINO;43;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;24;MICROSOFT AZURE
ANTIOQUIA;MEDELLIN;MASCULINO;24;MICROSOFT AZURE
ANTIOQUIA;MEDELLIN;MASCULINO;24;MICROSOFT AZURE
ANTIOQUIA;CALDAS;MASCULINO;41;PLATZI
ATLANTICO;BARRANQUILLA;FEMENINO;25;EDX
VAUPES;MITU;FEMENINO;17;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;27;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;27;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;27;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;27;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;27;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;27;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;27;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;27;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;27;EDX
SANTANDER;PIEDECUESTA;MASCULINO;37;PLATZI
SANTANDER;BUCARAMANGA;MASCULINO;36;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;39;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;39;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;39;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;39;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;39;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;39;PLATZI
ATLANTICO;BARRANQUILLA;MASCULINO;52;EDX
VALLE DEL CAUCA;GUADALAJARA DE BUGA;MASCULINO;42;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;47;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;47;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;47;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;47;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;47;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;47;COURSERA
ANTIOQUIA;EL CARMEN DE VIBORAL;MASCULINO;33;COURSERA
CUNDINAMARCA;MOSQUERA;MASCULINO;17;UDACITY
VALLE DEL CAUCA;CALI;MASCULINO;44;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;20;PLATZI
ANTIOQUIA;BELLO;MASCULINO;27;DATACAMP
ANTIOQUIA;CALDAS;MASCULINO;29;UDACITY
ANTIOQUIA;ITAGUI;FEMENINO;18;MICROSOFT AZURE
CUNDINAMARCA;FUSAGASUGA;MASCULINO;40;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;22;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;22;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;22;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;22;PLATZI
SANTANDER;BUCARAMANGA;MASCULINO;41;EDX
ANTIOQUIA;MEDELLIN;MASCULINO;38;UDACITY
ANTIOQUIA;MEDELLIN;MASCULINO;38;UDACITY
ANTIOQUIA;MEDELLIN;MASCULINO;38;UDACITY
ANTIOQUIA;MEDELLIN;FEMENINO;28;COURSERA
ANTIOQUIA;MEDELLIN;FEMENINO;28;COURSERA
ANTIOQUIA;MEDELLIN;FEMENINO;28;COURSERA
ANTIOQUIA;BELLO;MASCULINO;34;COURSERA
ANTIOQUIA;BELLO;MASCULINO;34;COURSERA
CUNDINAMARCA;TOCANCIPA;MASCULINO;40;DATACAMP
ANTIOQUIA;BELLO;MASCULINO;31;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;60;DATACAMP
ANTIOQUIA;SABANETA;FEMENINO;23;DATACAMP
ANTIOQUIA;MEDELLIN;FEMENINO;21;EDX
HUILA;NEIVA;MASCULINO;25;PLATZI
SANTANDER;BUCARAMANGA;FEMENINO;31;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;38;EDX
ANTIOQUIA;MEDELLIN;MASCULINO;38;EDX
ANTIOQUIA;MEDELLIN;MASCULINO;38;EDX
MAGDALENA;SANTA MARTA;MASCULINO;20;UDACITY
MAGDALENA;SANTA MARTA;MASCULINO;20;UDACITY
ANTIOQUIA;MEDELLIN;FEMENINO;34;DATACAMP
ANTIOQUIA;MEDELLIN;FEMENINO;34;DATACAMP
BOGOTA;BOGOTA, D.C.;FEMENINO;32;DATACAMP
BOGOTA;BOGOTA, D.C.;FEMENINO;32;DATACAMP
SANTANDER;BARRANCABERMEJA;MASCULINO;18;UDACITY
ANTIOQUIA;SABANETA;FEMENINO;23;PLATZI
ATLANTICO;BARRANQUILLA;MASCULINO;35;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;29;EDX
BOGOTA;BOGOTA, D.C.;FEMENINO;29;EDX
RISARALDA;DOSQUEBRADAS;MASCULINO;36;DATACAMP
NARIÑO;PASTO;MASCULINO;18;PLATZI
VALLE DEL CAUCA;CALI;FEMENINO;28;PLATZI
BOYACA;UMBITA;FEMENINO;38;DATACAMP
NORTE DE SANTANDER;CUCUTA;MASCULINO;30;PLATZI
ANTIOQUIA;SABANETA;MASCULINO;43;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;28;DATACAMP
BOGOTA;BOGOTA, D.C.;MASCULINO;28;DATACAMP
BOGOTA;BOGOTA, D.C.;MASCULINO;28;DATACAMP
BOGOTA;BOGOTA, D.C.;MASCULINO;28;DATACAMP
BOGOTA;BOGOTA, D.C.;MASCULINO;28;DATACAMP
BOGOTA;BOGOTA, D.C.;MASCULINO;28;DATACAMP
BOGOTA;BOGOTA, D.C.;MASCULINO;28;DATACAMP
BOGOTA;BOGOTA, D.C.;MASCULINO;28;DATACAMP
BOGOTA;BOGOTA, D.C.;MASCULINO;28;DATACAMP
BOGOTA;BOGOTA, D.C.;MASCULINO;28;DATACAMP
BOGOTA;BOGOTA, D.C.;MASCULINO;28;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;27;UDACITY
ANTIOQUIA;MEDELLIN;MASCULINO;27;UDACITY
ANTIOQUIA;MEDELLIN;MASCULINO;27;UDACITY
ANTIOQUIA;MEDELLIN;MASCULINO;27;UDACITY
ANTIOQUIA;MEDELLIN;MASCULINO;27;UDACITY
ANTIOQUIA;MEDELLIN;MASCULINO;27;UDACITY
ATLANTICO;BARRANQUILLA;MASCULINO;31;DATACAMP
ATLANTICO;BARRANQUILLA;MASCULINO;31;DATACAMP
ATLANTICO;BARRANQUILLA;MASCULINO;31;DATACAMP
BOYACA;DUITAMA;MASCULINO;41;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;46;UDACITY
ANTIOQUIA;PEÐOL;FEMENINO;29;PLATZI
VALLE DEL CAUCA;PALMIRA;MASCULINO;24;COURSERA
NORTE DE SANTANDER;CUCUTA;MASCULINO;59;COURSERA
ANTIOQUIA;LA CEJA;MASCULINO;42;COURSERA
META;VILLAVICENCIO;FEMENINO;36;DATACAMP
ANTIOQUIA;BELLO;MASCULINO;26;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;47;COURSERA
VALLE DEL CAUCA;CALI;MASCULINO;27;UDACITY
VALLE DEL CAUCA;CALI;MASCULINO;27;UDACITY
META;VILLAVICENCIO;MASCULINO;26;PLATZI
META;VILLAVICENCIO;MASCULINO;26;PLATZI
BOYACA;TUNJA;MASCULINO;25;COURSERA
ANTIOQUIA;MARINILLA;FEMENINO;25;PLATZI
SANTANDER;BUCARAMANGA;MASCULINO;26;MICROSOFT AZURE
ANTIOQUIA;MEDELLIN;FEMENINO;26;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;26;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;30;MICROSOFT AZURE
ANTIOQUIA;MEDELLIN;FEMENINO;30;MICROSOFT AZURE
ANTIOQUIA;BELLO;MASCULINO;28;PLATZI
CAUCA;POPAYAN;MASCULINO;24;UDACITY
VALLE DEL CAUCA;CALI;MASCULINO;46;EDX
VALLE DEL CAUCA;CALI;FEMENINO;48;PLATZI
VALLE DEL CAUCA;CALI;FEMENINO;21;PLATZI
VALLE DEL CAUCA;CALI;FEMENINO;21;PLATZI
VALLE DEL CAUCA;CALI;FEMENINO;21;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;31;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;31;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;31;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;31;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;31;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;31;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;31;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;31;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;31;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;31;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;31;MICROSOFT AZURE
CALDAS;SALAMINA;MASCULINO;31;DATACAMP
ANTIOQUIA;MEDELLIN;FEMENINO;35;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;35;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;26;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;26;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;26;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;26;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;26;COURSERA
BOGOTA;BOGOTA, D.C.;FEMENINO;28;DATACAMP
BOGOTA;BOGOTA, D.C.;FEMENINO;28;DATACAMP
BOGOTA;BOGOTA, D.C.;FEMENINO;28;DATACAMP
BOGOTA;BOGOTA, D.C.;FEMENINO;28;DATACAMP
BOGOTA;BOGOTA, D.C.;FEMENINO;28;DATACAMP
BOGOTA;BOGOTA, D.C.;FEMENINO;28;DATACAMP
TOLIMA;IBAGUE;MASCULINO;23;MICROSOFT AZURE
SANTANDER;BARRANCABERMEJA;FEMENINO;32;COURSERA
NORTE DE SANTANDER;CUCUTA;MASCULINO;37;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;44;MICROSOFT AZURE
ANTIOQUIA;MEDELLIN;MASCULINO;44;MICROSOFT AZURE
CUNDINAMARCA;ZIPAQUIRA;FEMENINO;49;DATACAMP
ANTIOQUIA;ENVIGADO;MASCULINO;25;UDACITY
ANTIOQUIA;BELLO;FEMENINO;32;COURSERA
NARIÑO;PASTO;MASCULINO;28;PLATZI
BOLIVAR;CARTAGENA;MASCULINO;43;COURSERA
VALLE DEL CAUCA;CALI;MASCULINO;26;PLATZI
VALLE DEL CAUCA;CALI;MASCULINO;26;PLATZI
VALLE DEL CAUCA;CALI;MASCULINO;26;PLATZI
VALLE DEL CAUCA;CALI;MASCULINO;26;PLATZI
VALLE DEL CAUCA;CALI;MASCULINO;26;PLATZI
VALLE DEL CAUCA;CALI;MASCULINO;26;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;45;UDACITY
ANTIOQUIA;ARMENIA;FEMENINO;50;PLATZI
SANTANDER;GIRON;MASCULINO;20;PLATZI
SANTANDER;GIRON;MASCULINO;20;PLATZI
CESAR;VALLEDUPAR;MASCULINO;25;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;30;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;30;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;30;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;30;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;30;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;30;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;30;PLATZI
CUNDINAMARCA;MOSQUERA;FEMENINO;37;PLATZI
CUNDINAMARCA;MOSQUERA;FEMENINO;37;PLATZI
CUNDINAMARCA;MOSQUERA;MASCULINO;34;COURSERA
ANTIOQUIA;ARMENIA;MASCULINO;46;MICROSOFT AZURE
ANTIOQUIA;RIONEGRO;MASCULINO;24;PLATZI
CESAR;VALLEDUPAR;MASCULINO;28;PLATZI
CESAR;VALLEDUPAR;MASCULINO;28;PLATZI
CESAR;VALLEDUPAR;MASCULINO;28;PLATZI
SANTANDER;FLORIDABLANCA;MASCULINO;37;PLATZI
ATLANTICO;MALAMBO;MASCULINO;18;PLATZI
ANTIOQUIA;ITAGUI;MASCULINO;30;COURSERA
ANTIOQUIA;ARMENIA;MASCULINO;22;PLATZI
ANTIOQUIA;ARMENIA;MASCULINO;22;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;35;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;35;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;35;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;35;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;35;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;35;EDX
CAUCA;POPAYAN;MASCULINO;38;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;37;PLATZI
CAUCA;POPAYAN;MASCULINO;34;DATACAMP
CAUCA;POPAYAN;MASCULINO;34;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;47;EDX
BOGOTA;BOGOTA, D.C.;MASCULINO;57;COURSERA
ATLANTICO;BARRANQUILLA;MASCULINO;36;DATACAMP
TOLIMA;IBAGUE;MASCULINO;30;DATACAMP
SANTANDER;BUCARAMANGA;MASCULINO;42;MICROSOFT AZURE
RISARALDA;PEREIRA;MASCULINO;31;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;23;UDACITY
SANTANDER;PIEDECUESTA;MASCULINO;22;PLATZI
NORTE DE SANTANDER;CUCUTA;FEMENINO;22;DATACAMP
VALLE DEL CAUCA;CALI;FEMENINO;40;DATACAMP
ATLANTICO;BARRANQUILLA;MASCULINO;39;PLATZI
ATLANTICO;BARRANQUILLA;MASCULINO;39;PLATZI
ATLANTICO;BARRANQUILLA;MASCULINO;39;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;38;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;38;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;38;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;38;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;38;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;38;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;38;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;38;MICROSOFT AZURE
NARIÑO;PASTO;MASCULINO;28;COURSERA
SANTANDER;BUCARAMANGA;FEMENINO;30;DATACAMP
ANTIOQUIA;MEDELLIN;FEMENINO;34;PLATZI
CUNDINAMARCA;VILLA DE SAN DIEGO DE UBATE;MASCULINO;29;MICROSOFT AZURE
HUILA;NEIVA;FEMENINO;31;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;28;EDX
RISARALDA;PEREIRA;MASCULINO;19;PLATZI
TOLIMA;MELGAR;FEMENINO;35;MICROSOFT AZURE
ANTIOQUIA;MEDELLIN;FEMENINO;31;MICROSOFT AZURE
CORDOBA;MONTELIBANO;MASCULINO;31;MICROSOFT AZURE
VALLE DEL CAUCA;CALI;MASCULINO;37;DATACAMP
VALLE DEL CAUCA;CALI;MASCULINO;37;DATACAMP
VALLE DEL CAUCA;CALI;MASCULINO;37;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;27;EDX
NORTE DE SANTANDER;CUCUTA;MASCULINO;37;DATACAMP
NORTE DE SANTANDER;CUCUTA;MASCULINO;37;DATACAMP
ATLANTICO;BARRANQUILLA;MASCULINO;39;MICROSOFT AZURE
ANTIOQUIA;CALDAS;MASCULINO;38;DATACAMP
ANTIOQUIA;SABANETA;MASCULINO;38;UDACITY
ANTIOQUIA;BELLO;FEMENINO;27;COURSERA
CAUCA;POPAYAN;MASCULINO;32;DATACAMP
ANTIOQUIA;MEDELLIN;FEMENINO;33;COURSERA
NARIÑO;PASTO;MASCULINO;22;PLATZI
NARIÑO;PASTO;MASCULINO;22;PLATZI
NARIÑO;PASTO;MASCULINO;22;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;41;UDACITY
ANTIOQUIA;MEDELLIN;MASCULINO;41;UDACITY
SANTANDER;BUCARAMANGA;MASCULINO;21;MICROSOFT AZURE
CAUCA;POPAYAN;MASCULINO;39;PLATZI
CAUCA;POPAYAN;MASCULINO;39;PLATZI
ANTIOQUIA;MEDELLIN;MASCULINO;52;COURSERA
VALLE DEL CAUCA;CALI;MASCULINO;42;COURSERA
VALLE DEL CAUCA;CALI;MASCULINO;42;COURSERA
ANTIOQUIA;MEDELLIN;MASCULINO;26;UDACITY
ANTIOQUIA;MEDELLIN;MASCULINO;26;UDACITY
ANTIOQUIA;MEDELLIN;MASCULINO;26;UDACITY
ANTIOQUIA;MEDELLIN;MASCULINO;26;UDACITY
ANTIOQUIA;MEDELLIN;MASCULINO;26;UDACITY
ANTIOQUIA;MEDELLIN;MASCULINO;26;UDACITY
CUNDINAMARCA;MOSQUERA;MASCULINO;19;DATACAMP
BOGOTA;BOGOTA, D.C.;FEMENINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;24;PLATZI
BOGOTA;BOGOTA, D.C.;FEMENINO;24;PLATZI
ANTIOQUIA;ITAGUI;MASCULINO;40;COURSERA
BOGOTA;BOGOTA, D.C.;FEMENINO;31;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;FEMENINO;31;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;FEMENINO;31;MICROSOFT AZURE
ANTIOQUIA;BELLO;MASCULINO;30;MICROSOFT AZURE
ANTIOQUIA;ITAGUI;MASCULINO;27;DATACAMP
ANTIOQUIA;BELLO;MASCULINO;26;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;FEMENINO;39;DATACAMP
CUNDINAMARCA;CHIA;MASCULINO;44;MICROSOFT AZURE
SANTANDER;PIEDECUESTA;MASCULINO;22;COURSERA
CUNDINAMARCA;MADRID;MASCULINO;28;COURSERA
ANTIOQUIA;TURBO;MASCULINO;31;DATACAMP
SUCRE;SINCELEJO;MASCULINO;35;DATACAMP
ANTIOQUIA;MEDELLIN;FEMENINO;37;EDX
ANTIOQUIA;SABANETA;MASCULINO;32;MICROSOFT AZURE
ANTIOQUIA;SABANETA;MASCULINO;32;MICROSOFT AZURE
ANTIOQUIA;MEDELLIN;MASCULINO;22;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;22;DATACAMP
ANTIOQUIA;MEDELLIN;MASCULINO;22;DATACAMP
RISARALDA;PEREIRA;FEMENINO;36;PLATZI
CAUCA;POPAYAN;FEMENINO;27;UDACITY
CUNDINAMARCA;ZIPAQUIRA;MASCULINO;40;PLATZI
ATLANTICO;PUERTO COLOMBIA;MASCULINO;36;MICROSOFT AZURE
CAUCA;POPAYAN;MASCULINO;36;PLATZI
RISARALDA;SANTA ROSA DE CABAL;MASCULINO;29;PLATZI
VALLE DEL CAUCA;CALI;MASCULINO;61;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;37;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;37;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;37;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;37;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;37;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;37;MICROSOFT AZURE
BOGOTA;BOGOTA, D.C.;MASCULINO;37;MICROSOFT AZURE
VALLE DEL CAUCA;CALI;MASCULINO;22;DATACAMP
VALLE DEL CAUCA;CALI;MASCULINO;22;DATACAMP
VALLE DEL CAUCA;CALI;MASCULINO;22;DATACAMP
SANTANDER;FLORIDABLANCA;MASCULINO;40;DATACAMP
SANTANDER;FLORIDABLANCA;MASCULINO;40;DATACAMP
BOGOTA;BOGOTA, D.C.;MASCULINO;37;UDACITY
BOGOTA;BOGOTA, D.C.;MASCULINO;37;UDACITY
BOGOTA;BOGOTA, D.C.;MASCULINO;37;UDACITY
BOGOTA;BOGOTA, D.C.;MASCULINO;37;UDACITY
BOGOTA;BOGOTA, D.C.;MASCULINO;37;UDACITY
BOGOTA;BOGOTA, D.C.;MASCULINO;37;UDACITY
VALLE DEL CAUCA;CALI;MASCULINO;22;COURSERA
VALLE DEL CAUCA;CALI;MASCULINO;22;COURSERA
VALLE DEL CAUCA;CALI;MASCULINO;33;COURSERA
VALLE DEL CAUCA;CALI;MASCULINO;33;COURSERA
VALLE DEL CAUCA;CALI;MASCULINO;33;COURSERA
VALLE DEL CAUCA;CALI;MASCULINO;33;COURSERA
CUNDINAMARCA;TOCANCIPA;FEMENINO;31;EDX
ANTIOQUIA;ITAGUI;MASCULINO;52;COURSERA
ANTIOQUIA;MEDELLIN;FEMENINO;25;DATACAMP
ANTIOQUIA;MEDELLIN;FEMENINO;25;DATACAMP
BOGOTA;BOGOTA, D.C.;MASCULINO;36;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;36;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;36;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;36;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;36;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;36;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;36;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;36;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;36;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;36;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;36;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;36;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;36;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;36;PLATZI
BOGOTA;BOGOTA, D.C.;MASCULINO;36;PLATZI
CUNDINAMARCA;SOACHA;MASCULINO;19;DATACAMP
BOGOTA;BOGOTA, D.C.;MASCULINO;37;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;37;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;37;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;37;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;37;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;37;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;37;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;37;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;37;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;37;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;37;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;37;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;37;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;37;COURSERA
BOGOTA;BOGOTA, D.C.;MASCULINO;37;COURSERA
ANTIOQUIA;LA ESTRELLA;MASCULINO;30;PLATZI
ANTIOQUIA;MEDELLIN;FEMENINO;57;PLATZI
